sigma_m,d_m,W,noise_struct,direction,trials,std_emp_deg,std_eq13_deg,std_chained_theory_deg,ratio_emp_over_eq13,ratio_emp_over_chained,bias_emp_deg
0.02,0.3,100,chained,single,2000,0.05527778229096017,0.5401897896942637,0.05401897896942636,0.10233029824989151,1.0233029824989153,0.0016044017679357932
0.02,0.3,100,chained,multi,2000,0.5303184512939773,0.5401897896942637,0.5401897896942638,0.981726166268575,0.9817261662685748,0.024589601709330965
0.02,0.3,100,indep,single,2000,0.529911045448126,0.5401897896942637,0.5401897896942637,0.9809719760679757,0.9809719760679757,0.007988509468104121
0.02,0.3,100,indep,multi,2000,0.5451324318412358,0.5401897896942637,0.5401897896942637,1.009149825193419,1.009149825193419,-0.019222745259722417
0.02,0.5,1,chained,single,2000,3.2383049285754604,3.241138738165582,3.241138738165582,0.9991256747029208,0.9991256747029208,0.08425024233604093
0.02,0.5,1,chained,multi,2000,3.2161027464018694,3.241138738165582,3.241138738165582,0.9922755568995228,0.9922755568995228,-0.08531498860046566
0.02,0.5,1,indep,single,2000,3.255040019404896,3.241138738165582,3.241138738165582,1.00428901147477,1.00428901147477,0.07420375178323292
0.02,0.5,1,indep,multi,2000,3.2109693198735614,3.241138738165582,3.241138738165582,0.990691722653904,0.990691722653904,-0.2006635918846622
0.02,0.5,2,chained,single,2000,1.6606091872177873,2.291831180523293,1.620569369082791,0.724577447645433,1.0247072534498525,0.07202819669037855
0.02,0.5,2,chained,multi,2000,2.2972481895559453,2.291831180523293,2.291831180523293,1.0023636160807514,1.0023636160807514,-0.02371990207482165
0.02,0.5,2,indep,single,2000,2.3130770022929905,2.291831180523293,2.291831180523293,1.0092702385543277,1.0092702385543277,-0.0017622980809740164
0.02,0.5,2,indep,multi,2000,2.2807431983643522,2.291831180523293,2.291831180523293,0.9951619550981022,0.9951619550981022,-0.013960798567579636
0.02,0.5,5,chained,single,2000,0.6629043659886391,1.4494813086092266,0.6482277476331164,0.457339023312204,1.0226411448894492,0.0037703896683010307
0.02,0.5,5,chained,multi,2000,1.421582938623514,1.4494813086092266,1.4494813086092264,0.9807528597850764,0.9807528597850765,0.01954708168080273
0.02,0.5,5,indep,single,2000,1.432860271326049,1.4494813086092266,1.4494813086092266,0.98853311375286,0.98853311375286,-0.035933506151675766
0.02,0.5,5,indep,multi,2000,1.4494301026815624,1.4494813086092266,1.4494813086092266,0.9999646729299921,0.9999646729299921,-0.03632642285451202
0.02,0.5,10,chained,single,2000,0.32715808762341597,1.0249380625207352,0.3241138738165582,0.3191979101827896,1.0093924205434686,0.006300175604279609
0.02,0.5,10,chained,multi,2000,1.0193686224489225,1.0249380625207352,1.0249380625207352,0.9945660715749837,0.9945660715749837,0.012250460638395784
0.02,0.5,10,indep,single,2000,1.0213122239607075,1.0249380625207352,1.0249380625207352,0.996462382759881,0.996462382759881,0.011278989046525441
